Format Version,1.23,Take Name,Take 2019-05-30 01.08.46 PM_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-05-30 01.17.24.067 PM,Total Frames in Take,25912,Total Exported Frames,25912,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
75,0.625000,-0.051287,0.767687,-0.542664,0.336959,36.734428,12.800318,498.417603
76,0.633333,-0.053661,0.767760,-0.546305,0.330479,36.574867,12.818933,498.338409
77,0.641667,-0.039766,0.767328,-0.539941,0.343644,36.461498,12.739565,498.437561
78,0.650000,-0.043833,0.768612,-0.535589,0.347071,36.552727,12.689691,498.380005
79,0.658333,-0.058383,0.766495,-0.544408,0.335703,36.686157,12.705055,498.229309
80,0.666667,-0.035440,0.765387,-0.542709,0.344084,36.515572,12.613104,498.406464
81,0.675000,-0.035877,0.764246,-0.543016,0.346084,36.643452,12.531243,498.386963
82,0.683333,-0.047081,0.759520,-0.541184,0.357816,36.974613,12.514891,498.470795
83,0.691667,,,,,,,
84,0.700000,-0.044932,0.760356,-0.539267,0.359208,37.168167,12.675804,498.648651
85,0.708333,-0.031338,0.750939,-0.550806,0.362934,37.096016,12.768696,498.955627
86,0.716667,-0.028791,0.747895,-0.551194,0.368795,37.142380,12.832388,499.052338
87,0.725000,-0.031397,0.752048,-0.548491,0.364137,37.084370,12.978961,499.146667
88,0.733333,-0.031438,0.753744,-0.547433,0.362213,37.062660,13.131979,499.230591
89,0.741667,-0.036427,0.755636,-0.545386,0.360889,37.083553,13.171035,499.255798
90,0.750000,-0.022490,0.751250,-0.550592,0.363271,37.151276,13.231129,499.310455
91,0.758333,-0.033358,0.760318,-0.539226,0.360609,37.245907,13.260465,499.156525
92,0.766667,-0.020562,0.762237,-0.540590,0.355435,37.110184,13.236639,499.084625
93,0.775000,-0.020302,0.761660,-0.541024,0.356027,37.083893,13.185099,499.051758
94,0.783333,-0.032375,0.762793,-0.534010,0.363224,37.217094,13.092073,498.902191
95,0.791667,-0.023825,0.748258,-0.553939,0.364272,37.054695,13.001717,499.078278
